State,Experience,Category,Popularity,Best Time to Experience,Associated Festival/Event,Duration,Cost Range,Notable Activities
Rajasthan,Trekking at Beach 24,Wildlife,High,January to March,Bihu,2 Hours,INR 3000 - 4000,Boating
Punjab,Trekking at Village 133,Culinary,Medium,July to September,Diwali,3 Days,INR 500 - 1000,Shopping
Assam,Trekking at City 71,Luxury,Low,October to December,Navratri,1 Hour,INR 2000 - 3000,Local cuisine tasting
Karnataka,Camping at Village 234,Eco-Tourism,High,October to December,Navratri,3 Days,INR 4000 - 5000,Nature walks
Bihar,Cooking Class at City 455,Wellness,High,April to June,Diwali,2 Days,INR 3000 - 4000,Nature walks
Punjab,Wildlife Safari at Beach 490,Religious,Low,October to December,Christmas,1 Hour,INR 500 - 1000,Shopping
Gujarat,Trekking at Mountain 137,Adventure,High,April to June,Navratri,1 Day,INR 2000 - 3000,Photography
Bihar,Wildlife Safari at Jungle 57,Religious,High,January to March,Navratri,1 Day,INR 1000 - 2000,Photography
Tamil Nadu,Camping at City 449,Religious,High,January to March,Navratri,2 Hours,INR 2000 - 3000,Local cuisine tasting
Rajasthan,Wildlife Safari at Mountain 273,Cultural,Medium,April to June,Pongal,3 Days,INR 2000 - 3000,Photography
Gujarat,Cooking Class at Mountain 279,Cultural,Medium,July to September,Diwali,1 Day,INR 500 - 1000,Local cuisine tasting
Maharashtra,Wildlife Safari at Mountain 201,Eco-Tourism,High,January to March,Durga Puja,1 Day,INR 1000 - 2000,Local cuisine tasting
Rajasthan,Cooking Class at Jungle 281,Wellness,Low,January to March,Lohri,3 Days,INR 1000 - 2000,Photography
Gujarat,Cooking Class at Jungle 263,Wildlife,Low,January to March,Pongal,Half Day,INR 2000 - 3000,Photography
Tamil Nadu,River Rafting at Village 47,Adventure,High,October to December,Eid,1 Day,INR 2000 - 3000,Local cuisine tasting
Punjab,Camping at City 226,Eco-Tourism,High,October to December,Diwali,3 Days,INR 4000 - 5000,Photography
Rajasthan,Cooking Class at Mountain 96,Cultural,High,January to March,Eid,1 Day,INR 500 - 1000,Nature walks
Bihar,Cooking Class at City 285,Wildlife,Medium,January to March,Bihu,1 Day,INR 3000 - 4000,Boating
Bihar,River Rafting at Mountain 276,Adventure,Low,July to September,Bihu,2 Hours,INR 500 - 1000,Local cuisine tasting
Bihar,Camping at Beach 491,Eco-Tourism,High,April to June,Durga Puja,2 Hours,INR 4000 - 5000,Boating
Punjab,Trekking at City 476,Adventure,High,January to March,Holi,2 Hours,INR 3000 - 4000,Photography
Maharashtra,Trekking at Mountain 313,Wildlife,High,July to September,Durga Puja,2 Days,INR 1000 - 2000,Local cuisine tasting
Punjab,Cooking Class at Jungle 204,Luxury,Medium,April to June,Holi,1 Hour,INR 1000 - 2000,Local cuisine tasting
Bihar,Camping at Mountain 421,Culinary,Medium,January to March,Bihu,1 Hour,INR 500 - 1000,Photography
Bihar,Cooking Class at City 269,Wildlife,High,April to June,Diwali,3 Days,INR 4000 - 5000,Local cuisine tasting
